centro_titular|municipio_codigo|distrito_nombre|direccion_via_nombre|centro_tipo_descripcion|dat_codigo|direccion_codigo_postal|centro_titularidad|contacto_telefono2|contacto_telefono3|centro_tipo_desc_abreviada|direccion_numero|contacto_telefono1|centro_codigo|contacto_web|dat_nombre|centro_tipo_codigo|municipio_nombre|distrito_codigo|contacto_fax|direccion_coor_y|direccion_coor_x|direccion_via_tipo|centro_nombre|contacto_telefono4|contacto_email1|promedio_x|promedio_y|distancia|row_num
A GATAS ESCUELA INFANTIL S.L.|144||de Miraflores|ESCUELA INFANTIL PRIVADA|1|28791|PRIVADO|676963030||EIPR|1|918478585|28062229||Madrid-Norte|008|Soto del Real|||4511916.0|433865.0|CTRA|A GATAS||escuela.agatas@gmail.com|433865.0|4511916.0|0.0|1
ABETITOS AND CHILDREN, S.L.|005||Daganzo|ESCUELA INFANTIL PRIVADA|3|28806|PRIVADO|689794149||EIPR|k1,5|918787622|28049641|www.losabetitos.com|Madrid-Este|008|Alcalá de Henares|||4482669.0|467640.0|CTRA|ABETITOS AND CHILDREN||info@losabetitos.com|467640.0|4482669.0|0.0|1
ACADEMIA AYENSA, S.L.|079|Retiro|de Abtao|CENTRO AUTORIZADO ELEMENTAL DE MÚSICA|5|28007|PRIVADO|||CAU EL MUS|46|915019532|28040192||Madrid-Capital|137|Madrid|03||4473086.0|442797.0|CALLE|AYENSA||ayensamusica@hotmail.com|442797.0|4473086.0|0.0|1
ACADEMIA DIAZ BALAGUER,S.L.|079|Chamberí|de Fernando el Católico|CENTRO PRIVADO DE EDUCACIÓN SECUNDARIA|5|28015|PRIVADO|915445449||CPR ES|77|915443520|28018897|www.diaz-balaguer.es|Madrid-Capital|045|Madrid|07|915498168|4476200.0|439149.0|CALLE|DIAZ BALAGUER||secretaria@diaz-balaguer.com|439149.0|4476200.0|0.0|1
ACENIT,S.L.|079|Ciudad Lineal|de Vital Aza|CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA|5|28017|PRIVADO CONCERTADO|618147104||CPR INF-PRI|31|914087145|28032195|www.colegiocenit.es|Madrid-Capital|015|Madrid|15|914087145|4475870.0|445451.0|CALLE|CENIT||cc.cenit.madrid@educa.madrid.org|445451.0|4475870.0|0.0|1
ACTIV. CULT. CENTRO ENSEÑANZA ESTUDIO LAS NACIONES, S.L.UNIP|079|Chamartín|ALFONSO 13|CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA|5|28016|PRIVADO|||CPR INF-PRI|90|914135276|28022128|www.estudiolasnaciones.com|Madrid-Capital|015|Madrid|05||4478540.0|443473.0|AVDA|LAS NACIONES||clglasnaciones@hotmail.com|443473.0|4478540.0|0.0|1
ACTIVIDADES INFANTILES, S.L.|123||de los Naranjos|ESCUELA INFANTIL PRIVADA|3|28523|PRIVADO|608066524|615514443|EIPR|2|916660912|28045852||Madrid-Este|008|Rivas-Vaciamadrid|||4468256.0|454324.0|CALLE|LANDILAN||info@landilan.com|454324.0|4468256.0|0.0|1
ADACEM ESCUELA INFANTIL, S.L. UNIPERSONAL|079|Villaverde|del Berrocal|ESCUELA INFANTIL PRIVADA|5|28021|PRIVADO|652309046||EIPR|3|917235070|28064551|escuelanemomarlin.com|Madrid-Capital|008|Madrid|17||4466560.0|442502.0|CALLE|NEMOMARLIN BUTARQUE||butarque@escuelanemomarlin.com|442502.0|4466560.0|0.0|1
ADAGIO CONSULTORIA Y SERVICIOS, S.L.L.|079|San Blas-Canillejas|de Nanclares de Oca|ESCUELA INFANTIL PRIVADA|5|28022|PRIVADO|917470971||EIPR|14|605812080|28064241|http://elmundodemozart.com/|Madrid-Capital|008|Madrid|20||4477252.0|451043.0|CALLE|EL MUNDO DE MOZART I||cc.elmundodemozart.madrid@educa.madrid.org|451043.0|4477252.0|0.0|1
ADELA LEON COELLO|079|Fuencarral-El Pardo|de La Bañeza|ESCUELA INFANTIL PRIVADA|5|28029|PRIVADO|686355814||EIPR|43|913861519|28060890|http://www.escuelainfantilnanos.es|Madrid-Capital|008|Madrid|08||4480723.0|439130.0|CALLE|NANOS||adelaleon@escuelainfantilnanos.es|439130.0|4480723.0|0.0|1
